Month,Arithmetic Mean,total_rides
1,9.513333333333332,1104965.3200992555
2,8.996,1209453.9801699717
3,7.327272727272728,1217719.6425806452
4,7.66774193548387,1212220.5706666666
5,10.226666666666667,1220473.7780645161
6,20.70689655172414,1238764.0573333334
7,10.963333333333333,1201492.5896774193
8,11.903125,1219927.1083870968
9,10.333333333333334,1298775.016
10,7.376666666666667,1318775.5767741934
11,9.993333333333334,1201478.9426666666
12,8.427586206896551,1083191.4335483871
